               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.058707,               0.143,           0.0037734,             0.86707,             0.71348,             0.79516,             0.38278,            0.051484,             0.12048,           0.0056841,           0.0097011,           0.0097011,           0.0097011
                  37,            0.059341,             0.14277,           0.0038464,             0.76992,             0.74406,             0.77621,             0.36473,            0.052758,             0.14285,           0.0058274,            0.009684,            0.009684,            0.009684
                  38,            0.058501,             0.14009,           0.0037904,             0.83085,             0.71012,             0.77375,             0.35792,            0.054664,             0.12072,           0.0054565,           0.0096664,           0.0096664,           0.0096664
                  39,             0.05714,             0.13723,           0.0033869,             0.83639,             0.73636,             0.79131,             0.36279,            0.052747,             0.12318,           0.0048654,           0.0096484,           0.0096484,           0.0096484
                  40,            0.059252,             0.14065,           0.0034647,             0.85373,             0.72504,             0.79454,             0.36433,            0.051809,             0.11743,           0.0047754,           0.0096299,           0.0096299,           0.0096299
                  41,            0.057262,             0.13676,           0.0034133,              0.8803,             0.71843,             0.79297,             0.37215,            0.052528,             0.11745,            0.006306,            0.009611,            0.009611,            0.009611
                  42,            0.056795,              0.1357,             0.00358,             0.78732,             0.64804,              0.7197,             0.33925,            0.054689,             0.14251,           0.0069035,           0.0095916,           0.0095916,           0.0095916
                  43,            0.058051,             0.13952,           0.0039078,             0.80541,             0.75335,             0.79338,             0.36976,            0.052484,             0.12218,           0.0051755,           0.0095717,           0.0095717,           0.0095717
                  44,            0.057848,             0.14675,           0.0031641,             0.81733,             0.69085,             0.75976,             0.33622,            0.054436,             0.12216,           0.0064303,           0.0095514,           0.0095514,           0.0095514
                  45,            0.056128,             0.13364,           0.0035479,             0.81663,             0.71946,             0.78263,             0.37325,            0.052489,             0.12502,           0.0062333,           0.0095307,           0.0095307,           0.0095307
                  46,            0.057855,             0.14017,           0.0034903,             0.80082,              0.7681,             0.79623,             0.37143,            0.052646,             0.11572,           0.0050217,           0.0095095,           0.0095095,           0.0095095
                  47,             0.05738,             0.13619,           0.0033115,             0.81845,             0.77307,             0.80825,              0.3699,            0.051699,             0.11518,           0.0050967,           0.0094879,           0.0094879,           0.0094879
                  48,            0.055078,             0.13532,           0.0027947,             0.83467,             0.75338,             0.80476,             0.37857,             0.05093,              0.1182,           0.0051998,           0.0094659,           0.0094659,           0.0094659
