epoch,train_loss,eval_loss,eval_top1,eval_top5
192,2.189043809206058,1.154159375,75.41,92.73
193,2.207245054000463,1.128759375,75.37,92.88
194,2.1187061676612267,1.10371796875,75.16,93.31
195,2.1765030756974832,1.16030625,74.83,92.63
196,2.2010420371324586,1.119253125,75.0,92.89
197,2.214945337099907,1.133634375,75.06,92.8
198,2.157700663346511,1.146428125,75.03,92.82
199,2.0320558291215165,1.114440625,75.85,93.06
200,2.1058538204584365,1.1699796875,74.93,92.71
201,2.1078322190504806,1.1218265625,75.41,93.24
202,2.0882752106739924,1.0637234375,75.38,93.22
203,2.1734840655938172,1.11655546875,75.53,92.89
204,2.1178047925998005,1.07639375,75.71,92.9
205,2.203640058101752,1.1260375,75.31,92.84
206,2.07935390716944,1.128546875,74.92,92.64
207,2.159774599931179,1.127234375,75.24,92.92
208,2.1285052116100607,1.149634375,75.0,92.95
209,2.105274853339562,1.08066640625,75.36,93.18
210,2.143930143576402,1.129796875,75.63,93.12
211,2.1507673978805544,1.1256828125,75.57,93.05
212,2.120990820420094,1.1269234375,75.57,92.96
213,2.1265968720118207,1.13941875,75.54,92.99
214,2.1601392495326506,1.0842703125,75.82,93.06
215,2.042921010653178,1.1140453125,75.32,93.25
216,2.1599481240296976,1.1381828125,75.41,92.9
217,2.0217695346245397,1.0934875,75.65,92.93
218,2.180296946794559,1.158996875,75.62,92.99
219,2.0930528964751804,1.0684234375,76.04,93.29
220,2.090907069352957,1.18458125,74.77,92.85
221,2.149600607920916,1.195171875,75.17,92.88
222,2.1456630584521172,1.155109375,75.75,93.3
223,2.136264628630418,1.1412046875,75.84,93.06
224,2.0817755307906713,1.09561875,75.75,93.32
225,2.084423026060447,1.097140625,75.77,93.11
226,2.05462346749428,1.1354140625,75.44,93.29
227,1.9709230612485837,1.1152078125,75.83,92.99
228,2.184624910965944,1.04774921875,76.44,93.3
229,2.1029938184298,1.1005,76.13,93.15
230,2.045744039462163,1.1068953125,76.17,93.29
231,2.126363385029328,1.1165734375,76.15,93.16
232,2.137235190929511,1.1438765625,75.47,93.0
233,2.1325815182465773,1.10536875,75.84,93.26
234,2.1120589347986076,1.119178125,76.12,93.34
235,2.1066359538298385,1.1405140625,76.07,93.12
236,2.077329174066201,1.0925171875,75.95,93.2
237,2.072623626391093,1.0943640625,76.46,93.16
238,2.1530574230047375,1.100084375,76.36,93.42
239,1.989570769896874,1.094709375,76.45,93.14
240,2.0463951055820173,1.1232875,75.87,93.0
241,2.074893566278311,1.1192859375,76.03,93.32
242,2.154874200087327,1.1352640625,75.85,92.96
243,2.1065697205372347,1.1317375,75.89,93.15
244,2.1247199492576794,1.101915625,76.14,93.14
245,2.1789826270861505,1.1676640625,75.92,92.97
246,2.1064380578505686,1.0793078125,76.09,93.33
247,2.1685750851264367,1.1582703125,75.75,93.35
248,2.141277014903533,1.1205328125,76.12,93.11
249,2.1073466637195684,1.1013375,76.29,93.44
250,2.085028813435481,1.10195703125,76.19,92.98
251,2.1047796487808226,1.0733703125,76.37,93.41
252,2.1528425369507227,1.1167765625,76.47,93.32
253,2.029404385884603,1.1183015625,76.13,93.09
254,2.0389072589385204,1.0975578125,76.88,93.42
255,2.0547833650540084,1.0567734375,76.87,93.56
256,2.119474373719631,1.168778125,75.73,93.04
257,1.9828918493711032,1.0949859375,76.43,93.4
258,2.1137801384314514,1.089796875,76.26,93.45
259,2.1630365952467305,1.165128125,75.59,93.21
260,2.159560655324887,1.11750625,76.24,93.15
261,2.0963958776914158,1.1113421875,76.12,93.39
262,2.1296630730995765,1.1243984375,76.19,93.13
263,2.0486444607759133,1.127571875,76.19,93.46
264,2.119983572226304,1.0919546875,76.31,93.43
265,2.125460940140944,1.1718390625,76.0,92.95
266,2.008219707317841,1.11114375,76.26,93.15
267,1.9569466346349471,1.05184296875,76.6,93.32
268,2.013365661792266,1.086540625,76.35,93.55
269,2.164025119634775,1.08727265625,76.09,93.36
270,2.101388527185489,1.1467421875,76.2,93.18
271,2.017333960533142,1.08953046875,76.51,93.37
272,2.0577278962502112,1.1453921875,76.21,93.21
273,2.1148469704848067,1.121759375,76.71,93.1
274,2.0461102314484427,1.10276171875,76.24,93.23
275,2.0717101029860667,1.1069046875,76.74,93.3
276,2.1088982539299206,1.129571875,76.38,93.33
277,2.1852766605523914,1.186128125,75.74,92.93
278,2.154853831193386,1.061046875,76.45,93.44
279,2.125915951606555,1.16094375,76.16,92.83
280,2.0910976697237063,1.1396953125,76.29,93.32
281,2.107962261713468,1.084284375,76.49,93.41
282,2.005466368259528,1.1332953125,76.35,93.35
283,2.1287237130678616,1.1208421875,76.37,93.25
284,1.979087503751119,1.06871875,76.76,93.43
285,2.1446124406961293,1.1426609375,76.61,93.36
286,2.0497896750768025,1.078021875,76.56,93.54
287,1.884774220906771,1.04699921875,76.83,93.54
288,2.126344845845149,1.1401765625,76.44,93.24
289,1.9761758828774476,1.1024796875,76.22,93.29
290,2.0457357461635883,1.148871875,76.54,93.27
291,2.0821785773986425,1.1212296875,76.78,93.11
292,2.1650800411517803,1.1187359375,76.87,93.21
293,2.079302980960944,1.1735640625,76.33,93.14
294,2.067507303066743,1.0603484375,76.88,93.56
295,2.0561051264787333,1.10731875,76.8,93.54
296,2.1055836885403365,1.11004375,76.67,93.41
297,2.0327679676887316,1.0915375,76.61,93.47
298,2.177283568871327,1.0914859375,76.65,93.53
299,2.073038390966562,1.1399765625,75.94,93.15
300,1.9963169586964142,1.09323125,76.49,93.27
301,2.070294216962961,1.2001921875,76.27,92.68
302,2.0147271437522694,1.064365625,76.94,93.41
303,2.1197300898723115,1.0928609375,76.86,93.29
304,2.056634479913956,1.1210375,76.63,93.29
305,2.1180909927074727,1.10126875,76.79,93.29
306,2.064557513823876,1.1064578125,76.65,93.36
307,2.0717942879750177,1.1296375,76.71,93.28
308,2.1758994261423745,1.1439265625,76.05,93.32
309,2.0690800434503798,1.0889484375,76.61,93.29
