               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.066561,             0.14826,           0.0071501,             0.64858,             0.68222,             0.68348,             0.27636,            0.060003,             0.12218,           0.0077234,           0.0097011,           0.0097011,           0.0097011
                  37,            0.067281,             0.14583,           0.0069182,             0.69963,             0.66938,             0.69234,             0.26656,            0.060636,             0.12064,           0.0075251,            0.009684,            0.009684,            0.009684
                  38,             0.06737,             0.15321,           0.0067752,             0.65285,             0.66178,             0.66189,             0.26278,            0.059788,             0.11773,           0.0079886,           0.0096664,           0.0096664,           0.0096664
                  39,            0.066151,             0.15738,           0.0063846,             0.66961,             0.59555,             0.66808,             0.28776,            0.059328,             0.11917,           0.0064134,           0.0096484,           0.0096484,           0.0096484
                  40,            0.064391,             0.14176,           0.0066958,             0.68175,             0.73099,             0.72072,             0.29839,            0.056431,             0.11693,            0.006881,           0.0096299,           0.0096299,           0.0096299
                  41,            0.064991,              0.1454,           0.0065121,              0.7281,             0.69077,             0.71822,             0.30213,            0.057313,             0.11802,           0.0067455,            0.009611,            0.009611,            0.009611
                  42,            0.065115,             0.14198,           0.0065454,             0.71274,              0.7069,             0.74433,             0.32641,             0.05663,             0.11319,           0.0059774,           0.0095916,           0.0095916,           0.0095916
                  43,            0.063376,             0.13941,           0.0060931,             0.68573,             0.67522,             0.70326,              0.2877,            0.061408,              0.1223,           0.0067015,           0.0095717,           0.0095717,           0.0095717
                  44,            0.066135,             0.14656,           0.0059315,             0.71919,             0.70776,             0.73601,             0.30689,            0.057549,             0.11819,            0.006211,           0.0095514,           0.0095514,           0.0095514
                  45,            0.064711,             0.13983,           0.0062482,             0.71079,             0.71807,             0.71768,             0.30073,            0.057768,              0.1175,           0.0069862,           0.0095307,           0.0095307,           0.0095307
                  46,            0.063138,             0.13772,            0.006221,             0.72529,             0.68687,             0.72288,             0.30154,            0.057649,             0.11909,           0.0059023,           0.0095095,           0.0095095,           0.0095095
                  47,            0.062995,             0.14683,           0.0059934,             0.69564,             0.70247,             0.71323,             0.28832,            0.061561,             0.12262,           0.0053425,           0.0094879,           0.0094879,           0.0094879
                  48,            0.063659,              0.1386,           0.0052593,             0.71708,             0.70879,             0.73209,             0.31391,            0.056611,             0.11376,           0.0053815,           0.0094659,           0.0094659,           0.0094659
                  49,            0.061313,             0.13873,           0.0053435,             0.74748,             0.68199,              0.7474,             0.31803,            0.057547,             0.11611,           0.0053361,           0.0094434,           0.0094434,           0.0094434
                  50,            0.062525,             0.13841,           0.0055676,             0.69932,             0.68743,              0.7012,             0.27939,            0.061788,             0.11808,           0.0056952,           0.0094205,           0.0094205,           0.0094205
                  51,            0.063623,             0.13974,           0.0052209,             0.80364,             0.69844,             0.76009,             0.33411,            0.055351,             0.11411,           0.0056167,           0.0093971,           0.0093971,           0.0093971
                  52,            0.062179,             0.14118,           0.0047879,             0.86063,             0.70186,             0.79103,             0.35981,            0.054671,             0.11521,           0.0057982,           0.0093733,           0.0093733,           0.0093733
                  53,            0.064713,             0.14001,            0.004869,             0.68661,             0.71337,             0.72405,             0.30625,            0.060824,             0.12049,           0.0059493,           0.0093491,           0.0093491,           0.0093491
                  54,            0.062689,             0.14058,           0.0048273,             0.78251,             0.75422,             0.79443,             0.33737,            0.055179,             0.11458,           0.0057381,           0.0093245,           0.0093245,           0.0093245
                  55,            0.061444,             0.13213,           0.0049136,             0.86793,             0.70448,             0.79543,             0.35633,            0.054513,             0.11764,           0.0055021,           0.0092995,           0.0092995,           0.0092995
                  56,             0.06184,             0.13472,           0.0044047,             0.77059,             0.65152,             0.72296,             0.29692,            0.059612,             0.11673,           0.0049037,            0.009274,            0.009274,            0.009274
                  57,            0.060982,             0.13696,           0.0042265,             0.80393,             0.69307,             0.76798,              0.3375,            0.054901,             0.11526,           0.0049897,           0.0092481,           0.0092481,           0.0092481
                  58,            0.062495,             0.13938,           0.0043498,             0.80826,              0.7508,             0.79517,             0.36979,             0.05366,             0.11148,            0.005345,           0.0092219,           0.0092219,           0.0092219
                  59,            0.061606,             0.13915,           0.0046457,             0.79239,             0.73934,             0.77219,             0.35091,            0.054053,             0.11538,           0.0054183,           0.0091952,           0.0091952,           0.0091952
                  60,            0.059516,             0.13092,           0.0040738,             0.80789,             0.72904,             0.78968,             0.35859,            0.053445,             0.11809,           0.0044802,           0.0091681,           0.0091681,           0.0091681
                  61,            0.058603,             0.13032,           0.0041319,             0.82236,             0.72118,             0.78346,             0.33573,            0.057513,             0.11224,           0.0042481,           0.0091406,           0.0091406,           0.0091406
                  62,            0.060461,             0.12957,           0.0042933,             0.86763,              0.7161,             0.79858,             0.35133,              0.0548,             0.11035,           0.0047758,           0.0091127,           0.0091127,           0.0091127
                  63,             0.06063,             0.14029,           0.0042952,             0.79023,             0.77851,             0.78554,             0.33546,            0.054547,             0.11325,           0.0048982,           0.0090844,           0.0090844,           0.0090844
                  64,            0.061534,              0.1397,           0.0042385,             0.84393,             0.75265,             0.81157,             0.36082,            0.054019,              0.1137,           0.0045418,           0.0090557,           0.0090557,           0.0090557
                  65,            0.060816,                0.13,           0.0038426,             0.83372,             0.72628,             0.78912,             0.35672,             0.05534,             0.11401,           0.0046733,           0.0090266,           0.0090266,           0.0090266
                  66,            0.059029,             0.12644,           0.0039892,             0.86322,             0.73805,             0.81161,             0.37595,            0.053021,             0.11054,           0.0044368,           0.0089972,           0.0089972,           0.0089972
                  67,            0.059898,             0.12964,           0.0039193,             0.84208,             0.69479,             0.78651,              0.3513,            0.056542,             0.11214,           0.0044801,           0.0089673,           0.0089673,           0.0089673
                  68,            0.058418,             0.13588,           0.0037292,             0.85975,              0.7345,             0.81676,             0.37635,            0.052636,             0.11187,           0.0050466,           0.0089371,           0.0089371,           0.0089371
                  69,            0.059352,             0.13029,           0.0036379,             0.87307,             0.73591,              0.8181,             0.37868,            0.052487,             0.11064,           0.0044294,           0.0089065,           0.0089065,           0.0089065
                  70,            0.059363,             0.13092,           0.0039432,              0.8435,             0.70327,             0.79309,             0.36024,            0.054994,             0.11278,           0.0047235,           0.0088755,           0.0088755,           0.0088755
                  71,            0.059873,             0.12485,            0.003664,             0.79901,             0.78302,             0.81045,             0.35675,            0.054859,             0.11318,           0.0045321,           0.0088442,           0.0088442,           0.0088442
                  72,            0.056677,             0.13204,           0.0033448,             0.85995,             0.74093,             0.81172,             0.38086,            0.052726,             0.10975,            0.004449,           0.0088124,           0.0088124,           0.0088124
                  73,            0.057468,             0.12732,            0.003836,             0.79096,             0.75913,             0.79876,             0.35354,            0.054811,             0.11034,           0.0043693,           0.0087804,           0.0087804,           0.0087804
                  74,            0.057465,             0.12846,           0.0034137,             0.81127,              0.7546,             0.80972,             0.38124,            0.052289,              0.1085,           0.0046113,           0.0087479,           0.0087479,           0.0087479
                  75,            0.058983,             0.13077,           0.0033384,             0.84317,             0.74621,             0.80047,             0.36433,            0.052921,             0.11297,           0.0047979,           0.0087151,           0.0087151,           0.0087151
                  76,            0.058142,             0.12836,           0.0034163,             0.86352,             0.72339,             0.81028,             0.35665,             0.05535,             0.11247,           0.0041283,            0.008682,            0.008682,            0.008682
                  77,            0.058775,             0.12787,           0.0034021,             0.83217,             0.73687,             0.79891,             0.37569,              0.0529,             0.11094,           0.0044435,           0.0086485,           0.0086485,           0.0086485
                  78,            0.057631,             0.12969,           0.0033658,             0.82569,             0.75058,             0.80285,             0.36662,            0.052761,             0.11253,           0.0044249,           0.0086146,           0.0086146,           0.0086146
                  79,             0.05702,             0.13023,           0.0032103,             0.82284,             0.76864,             0.81346,             0.36485,            0.053825,             0.11518,           0.0049425,           0.0085805,           0.0085805,           0.0085805
                  80,            0.057902,             0.12815,           0.0032965,             0.86802,             0.75236,             0.82776,             0.39049,            0.052445,             0.10949,           0.0046694,           0.0085459,           0.0085459,           0.0085459
                  81,            0.057471,              0.1268,           0.0030047,              0.8025,             0.77119,             0.80928,             0.38497,            0.051602,             0.11006,           0.0047062,           0.0085111,           0.0085111,           0.0085111
                  82,            0.055311,              0.1317,           0.0031648,             0.84906,             0.74837,             0.81762,             0.38007,            0.051706,             0.11045,           0.0041366,           0.0084759,           0.0084759,           0.0084759
                  83,            0.057853,             0.12773,            0.003001,             0.84683,             0.75781,             0.82357,             0.38878,             0.05213,             0.10809,           0.0036823,           0.0084404,           0.0084404,           0.0084404
                  84,            0.057739,             0.13073,           0.0029053,             0.78323,             0.78081,             0.81027,             0.36506,            0.054709,             0.10996,           0.0039487,           0.0084046,           0.0084046,           0.0084046
                  85,            0.056452,              0.1283,           0.0029105,             0.83868,             0.76513,             0.84001,             0.39282,            0.051671,             0.10988,            0.004244,           0.0083684,           0.0083684,           0.0083684
                  86,            0.057449,             0.12392,           0.0030855,              0.8526,             0.78251,             0.83769,             0.40439,            0.051187,               0.109,           0.0046119,           0.0083319,           0.0083319,           0.0083319
                  87,             0.05506,             0.12765,           0.0028917,             0.88578,             0.76103,             0.83917,             0.40786,            0.051124,             0.11012,           0.0043463,           0.0082952,           0.0082952,           0.0082952
